model,rmse_uncensored_mean,mae_uncensored_mean,c_index_mean,n_users,n_uncensored
linear,6.627059960002545,5.564315310754219,0.7687005598350263,7402,1386
random_forest,6.740044476553621,5.405142115763332,0.8252768510596656,7402,1386
